onset	duration	sample	value
5.846	n/a	2923	244
7.912	n/a	3956	99
8.928	n/a	4464	150
9.948	n/a	4974	151
10.468	n/a	5234	12
11.212	n/a	5606	99
12.03	n/a	6015	150
13.05	n/a	6525	151
13.57	n/a	6785	13
14.168	n/a	7084	99
14.982	n/a	7491	150
16.002	n/a	8001	151
16.524	n/a	8262	23
17.164	n/a	8582	88
17.974	n/a	8987	150
18.994	n/a	9497	151
19.516	n/a	9758	11
20.164	n/a	10082	99
20.976	n/a	10488	150
21.996	n/a	10998	151
22.518	n/a	11259	23
23.156	n/a	11578	88
23.968	n/a	11984	150
24.99	n/a	12495	151
25.51	n/a	12755	21
26.18	n/a	13090	88
26.99	n/a	13495	150
28.012	n/a	14006	151
28.532	n/a	14266	11
29.36	n/a	14680	99
30.172	n/a	15086	150
31.194	n/a	15597	151
31.714	n/a	15857	23
32.464	n/a	16232	88
33.276	n/a	16638	150
34.296	n/a	17148	151
34.818	n/a	17409	21
35.484	n/a	17742	88
36.298	n/a	18149	150
37.318	n/a	18659	151
37.838	n/a	18919	21
38.484	n/a	19242	88
39.3	n/a	19650	150
40.32	n/a	20160	151
40.84	n/a	20420	13
41.38	n/a	20690	99
42.192	n/a	21096	150
43.212	n/a	21606	151
43.732	n/a	21866	22
44.44	n/a	22220	88
45.254	n/a	22627	149
48.276	n/a	24138	150
49.296	n/a	24648	151
49.818	n/a	24909	21
50.432	n/a	25216	88
51.248	n/a	25624	150
52.268	n/a	26134	151
52.79	n/a	26395	23
53.468	n/a	26734	88
54.28	n/a	27140	150
55.3	n/a	27650	151
55.822	n/a	27911	11
56.584	n/a	28292	99
57.402	n/a	28701	150
58.424	n/a	29212	151
58.944	n/a	29472	12
59.6	n/a	29800	99
60.414	n/a	30207	150
61.436	n/a	30718	151
61.956	n/a	30978	11
62.452	n/a	31226	99
63.266	n/a	31633	150
64.288	n/a	32144	151
64.808	n/a	32404	13
65.496	n/a	32748	99
66.308	n/a	33154	150
67.33	n/a	33665	151
67.85	n/a	33925	13
68.436	n/a	34218	99
69.25	n/a	34625	150
70.272	n/a	35136	151
70.792	n/a	35396	12
71.352	n/a	35676	99
72.164	n/a	36082	150
73.184	n/a	36592	151
73.704	n/a	36852	12
74.36	n/a	37180	99
75.176	n/a	37588	150
76.196	n/a	38098	151
76.716	n/a	38358	21
77.596	n/a	38798	88
78.408	n/a	39204	150
79.428	n/a	39714	151
79.948	n/a	39974	12
80.564	n/a	40282	99
81.38	n/a	40690	149
84.402	n/a	42201	150
85.422	n/a	42711	151
85.944	n/a	42972	12
86.692	n/a	43346	99
87.504	n/a	43752	150
88.524	n/a	44262	151
89.046	n/a	44523	13
89.712	n/a	44856	99
90.526	n/a	45263	150
91.548	n/a	45774	151
92.068	n/a	46034	11
92.564	n/a	46282	99
93.378	n/a	46689	150
94.4	n/a	47200	151
94.92	n/a	47460	22
95.732	n/a	47866	88
96.55	n/a	48275	150
97.572	n/a	48786	151
98.092	n/a	49046	21
98.944	n/a	49472	88
99.762	n/a	49881	150
100.784	n/a	50392	151
101.304	n/a	50652	12
101.904	n/a	50952	99
102.716	n/a	51358	150
103.736	n/a	51868	151
104.256	n/a	52128	11
104.9	n/a	52450	99
105.718	n/a	52859	150
106.738	n/a	53369	151
107.258	n/a	53629	22
107.976	n/a	53988	88
108.79	n/a	54395	150
109.81	n/a	54905	151
110.33	n/a	55165	22
111.106	n/a	55553	88
111.922	n/a	55961	150
112.942	n/a	56471	151
113.462	n/a	56731	23
114.064	n/a	57032	88
114.874	n/a	57437	150
115.894	n/a	57947	151
116.414	n/a	58207	11
116.972	n/a	58486	99
117.786	n/a	58893	150
118.806	n/a	59403	151
119.328	n/a	59664	21
120.052	n/a	60026	88
120.868	n/a	60434	149
123.89	n/a	61945	150
124.912	n/a	62456	151
125.432	n/a	62716	22
126.108	n/a	63054	88
126.922	n/a	63461	150
127.944	n/a	63972	151
128.464	n/a	64232	12
129.252	n/a	64626	99
130.064	n/a	65032	150
131.086	n/a	65543	151
131.606	n/a	65803	11
132.308	n/a	66154	99
133.126	n/a	66563	150
134.148	n/a	67074	151
134.668	n/a	67334	23
135.276	n/a	67638	88
136.09	n/a	68045	150
137.11	n/a	68555	151
137.63	n/a	68815	13
138.284	n/a	69142	99
139.102	n/a	69551	150
140.122	n/a	70061	151
140.642	n/a	70321	11
141.144	n/a	70572	99
141.954	n/a	70977	150
142.974	n/a	71487	151
143.494	n/a	71747	12
144.092	n/a	72046	99
144.906	n/a	72453	150
145.926	n/a	72963	151
146.446	n/a	73223	13
146.984	n/a	73492	99
147.798	n/a	73899	150
148.818	n/a	74409	151
149.338	n/a	74669	12
149.86	n/a	74930	99
150.67	n/a	75335	150
151.69	n/a	75845	151
152.21	n/a	76105	22
152.648	n/a	76324	99
153.462	n/a	76731	150
154.482	n/a	77241	151
155.002	n/a	77501	23
155.804	n/a	77902	88
156.614	n/a	78307	150
157.634	n/a	78817	151
158.156	n/a	79078	13
158.764	n/a	79382	99
159.576	n/a	79788	150
160.596	n/a	80298	151
161.118	n/a	80559	12
161.716	n/a	80858	99
162.528	n/a	81264	150
163.548	n/a	81774	151
164.07	n/a	82035	23
164.692	n/a	82346	88
165.51	n/a	82755	149
168.532	n/a	84266	150
169.554	n/a	84777	151
170.074	n/a	85037	11
170.58	n/a	85290	99
171.394	n/a	85697	150
172.416	n/a	86208	151
172.936	n/a	86468	11
173.452	n/a	86726	99
174.266	n/a	87133	150
175.288	n/a	87644	151
175.808	n/a	87904	23
176.472	n/a	88236	88
177.288	n/a	88644	150
178.31	n/a	89155	151
178.83	n/a	89415	11
179.376	n/a	89688	99
180.19	n/a	90095	150
181.212	n/a	90606	151
181.732	n/a	90866	13
182.304	n/a	91152	99
183.122	n/a	91561	150
184.144	n/a	92072	151
184.664	n/a	92332	22
185.432	n/a	92716	88
186.246	n/a	93123	150
187.266	n/a	93633	151
187.786	n/a	93893	22
188.552	n/a	94276	88
189.368	n/a	94684	150
190.388	n/a	95194	151
190.908	n/a	95454	21
191.568	n/a	95784	88
192.38	n/a	96190	150
193.4	n/a	96700	151
193.92	n/a	96960	21
194.528	n/a	97264	88
195.342	n/a	97671	150
196.362	n/a	98181	151
196.882	n/a	98441	23
197.568	n/a	98784	88
198.384	n/a	99192	149
201.406	n/a	100703	150
202.426	n/a	101213	151
202.948	n/a	101474	13
203.532	n/a	101766	99
204.348	n/a	102174	150
205.368	n/a	102684	151
205.89	n/a	102945	11
206.416	n/a	103208	99
207.23	n/a	103615	150
208.252	n/a	104126	151
208.772	n/a	104386	21
209.708	n/a	104854	88
210.522	n/a	105261	150
211.544	n/a	105772	151
212.064	n/a	106032	22
212.764	n/a	106382	88
213.574	n/a	106787	150
214.596	n/a	107298	151
215.116	n/a	107558	12
215.792	n/a	107896	99
216.608	n/a	108304	150
217.628	n/a	108814	151
218.148	n/a	109074	13
218.712	n/a	109356	99
219.53	n/a	109765	150
220.55	n/a	110275	151
221.07	n/a	110535	13
221.7	n/a	110850	99
222.512	n/a	111256	150
223.532	n/a	111766	151
224.052	n/a	112026	21
224.72	n/a	112360	88
225.534	n/a	112767	150
226.554	n/a	113277	151
227.074	n/a	113537	21
227.72	n/a	113860	88
228.536	n/a	114268	150
229.556	n/a	114778	151
230.076	n/a	115038	22
231.056	n/a	115528	88
231.868	n/a	115934	150
232.888	n/a	116444	151
233.41	n/a	116705	21
234.206	n/a	117103	88
235.02	n/a	117510	150
236.042	n/a	118021	151
236.562	n/a	118281	12
237.108	n/a	118554	99
237.922	n/a	118961	149
240.944	n/a	120472	150
241.966	n/a	120983	151
242.486	n/a	121243	12
243.106	n/a	121553	99
243.916	n/a	121958	150
244.938	n/a	122469	151
245.458	n/a	122729	21
246.124	n/a	123062	88
246.938	n/a	123469	150
247.96	n/a	123980	151
248.48	n/a	124240	13
249.262	n/a	124631	99
250.072	n/a	125036	150
251.092	n/a	125546	151
251.612	n/a	125806	23
252.262	n/a	126131	88
253.074	n/a	126537	150
254.094	n/a	127047	151
254.614	n/a	127307	11
255.114	n/a	127557	99
255.926	n/a	127963	150
256.946	n/a	128473	151
257.466	n/a	128733	23
258.092	n/a	129046	88
258.908	n/a	129454	150
259.928	n/a	129964	151
